id,logtargamt,
914,0,24403
957,0,
1406,0,
1414,0,
1546,0,
1651,0,
2046,0,
2534,0,
2801,0,
3689,0,
4308,0,
4480,0,
4847,0,
4871,0,
5665,0,
6157,0,
6190,0,
6882,0,
7501,0,
8109,0,
8303,0,
8699,0,
8907,0,
9512,0,
9520,0,
9580,0,
9695,0,
9989,0,
10006,0,
11177,0,
12033,0,
13994,0,
14176,0,
14745,0,
14834,0,
15750,3.605525971,
16470,0,
16667,0,
16691,0,
16705,0,
17655,0,
17809,0,
17990,0,
18554,0,
18830,0,
19410,0,
19437,0,
19488,3.577945709,
19690,0,
19798,0,
20117,0,
20168,0,
20664,0,
20842,0,
21377,0,
21652,0,
21768,0,
21784,0,
22225,0,
23337,0,
23442,0,
23698,0,
23892,0,
23949,0,
24570,0,
24791,0,
25313,0,
26433,0,
26824,0,
26832,0,
27014,0,
27022,0,
27332,0,
27642,0,
28398,0,
28630,0,
29246,0,
29289,0,
29483,0,
30805,0,
31046,0,
31283,0,
31461,0,
31518,0,
31550,0,
31593,0,
31879,0,
32263,0,
32638,0,
32883,0,
33235,0,
33316,0,
33472,0,
33618,0,
33847,0,
33960,0,
34657,0,
35475,0,
35823,0,
36005,0,
36110,0,
36137,0,
36145,0,
36269,0,
37176,0,
38407,0,
38440,2.990718842,
39217,0,
39390,0,
39543,0,
39730,0,
40126,0,
40347,0,
40428,0,
40665,0,
40738,0,
40770,0,
41904,3.042137146,
42153,0,
42323,0,
42781,0,
42803,0,
43486,0,
44580,0,
44970,0,
45128,0,
45233,0,
45640,0,
45861,0,
46108,0,
46175,0,
46272,0,
47139,0,
47449,0,
47619,0,
47805,0,
48534,0,
48615,0,
49158,0,
49263,0,
49620,0,
49778,0,
50040,0,
50075,0,
50130,0,
50504,0,
50741,0,
51004,0,
51349,0,
51691,0,
52027,0,
52248,0,
52647,0,
52728,0,
53767,0,
54070,0,
54275,0,
54429,0,
54542,0,
55093,0,
55573,0,
56006,0,
56120,0,
56618,2.191652298,
56952,0,
57290,0,
57312,0,
57487,0,
57673,0,
58319,0,
58483,0,
58572,0,
58874,0,
58912,0,
59269,0,
59412,0,
59463,0,
59587,0,
59668,3.212856293,
59927,0,
60623,0,
60690,0,
62189,0,
62367,0,
62383,0,
62448,0,
62740,0,
63002,0,
63126,0,
63304,0,
63444,0,
63827,0,
64017,0,
64041,0,
64408,0,
64831,0,
64858,2.557226181,
64874,0,
65234,0,
65340,0,
65358,0,
65676,0,
66060,0,
66109,0,
66192,0,
66320,0,
66389,0,
66702,0,
66958,0,
67156,0,
67261,0,
67458,0,
67768,0,
67938,0,
68020,0,
68314,0,
68640,0,
69019,0,
69272,0,
69841,0,
69876,0,
70343,0,
70416,0,
70661,0,
71382,0,
71706,0,
71803,0,
73261,0,
73318,0,
73342,0,
73768,0,
73890,0,
74020,0,
74799,0,
74810,0,
75051,0,
75132,0,
75345,0,
75361,0,
75914,0,
76090,0,
76562,0,
76570,0,
76996,0,
77160,0,
77623,0,
78522,0,
78786,2.480730057,
78840,0,
79120,0,
79251,0,
79308,0,
79421,0,
79499,0,
